行 ID, 订单 ID, 订单日期, 邮寄方式, 客户 ID, 客户名称, 细分, 城市, 省/自治区, 国家, 地区, 产品 ID, 类别, 子类别, 产品名称, 销售额, 数量, 折扣, 利润
1.0, US-2019-1357144, 43582.0, 二级, 曾惠-14485, 曾惠, 公司, 杭州, 浙江, 中国, 华东, 办公用-用品-10002717, 办公用品, 用品, Fiskars 剪刀, 蓝色, 163.696, 10.0, 0.37, -60.70400000000001
2.0, CN-2019-1973789, 43631.0, 标准级, 许安-10165, 许安, 消费者, 内江, 四川, 中国, 西南, 办公用-信封-10004832, 办公用品, 信封, GlobeWeis 搭扣信封, 红色, 159.44, 10.0, 0.0, 42.56
3.0, CN-2019-1973789, 43631.0, 标准级, 许安-10165, 许安, 消费者, 内江, 四川, 中国, 西南, 办公用-装订-10001505, 办公用品, 装订机, Cardinal 孔加固材料, 回收, 65.92, 10.0, 0.37, 4.199999999999999
5.0, CN-2018-2975416, 43251.0, 二级, 万兰-15730, 万兰, 消费者, 汕头, 广东, 中国, 中南, 办公用-器具-10003452, 办公用品, 器具, KitchenAid 搅拌机, 黑色, 1409.92, 11.0, 0.0, 550.2
6.0, CN-2017-4497736, 43035.0, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 技术-设备-10001640, 技术, 设备, 柯尼卡 打印机, 红色, 11163.580000000002, 17.0, 0.0, 3783.78
7.0, CN-2017-4497736, 43035.0, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-装订-10001029, 办公用品, 装订机, Ibico 订书机, 实惠, 513.9200000000001, 10.0, 0.0, 172.76
8.0, CN-2017-4497736, 43035.0, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 家具-椅子-10000578, 家具, 椅子, SAFCO 扶手椅, 可调, 8693.84, 12.0, 0.0, 2684.08
9.0, CN-2017-4497736, 43035.0, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-纸张-10001629, 办公用品, 纸张, Green Bar 计划信息表, 多色, 622.0, 13.0, 0.0, 46.900000000000006
10.0, CN-2017-4497736, 43035.0, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-系固-10004801, 办公用品, 系固件, Stockwell 橡皮筋, 整包, 188.28, 10.0, 0.0, 33.879999999999995
11.0, CN-2016-4195213, 42726.0, 二级, 谢雯-21700, 谢雯, 小型企业, 榆林, 陕西, 中国, 西北, 技术-设备-10000001, 技术, 设备, 爱普生 计算器, 耐用, 468.28, 10.0, 0.0, 4.2
12.0, CN-2019-5801711, 43617.0, 标准级, 康青-19585, 康青, 消费者, 哈尔滨, 黑龙江, 中国, 东北, 技术-复印-10002416, 技术, 复印机, 惠普 墨水, 红色, 2402.7999999999997, 12.0, 0.0, 639.52
13.0, CN-2017-2752724, 42891.0, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 办公用-信封-10000017, 办公用品, 信封, Jiffy 局间信封, 银色, 717.76, 11.0, 0.0, 88.62
14.0, CN-2017-2752724, 42891.0, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 技术-配件-10004920, 技术, 配件, SanDisk 键区, 可编程, 1360.5000000000005, 13.0, 0.0, 344.4
15.0, CN-2017-2752724, 42891.0, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 技术-电话-10004349, 技术, 电话, 诺基亚 充电器, 蓝色, 5970.56, 10.0, 0.0, 2849.28
16.0, US-2018-2511714, 43426.0, 一级, 刘斯-20965, 刘斯云, 公司, 徐州, 江苏, 中国, 华东, 办公用-器具-10003582, 办公用品, 器具, KitchenAid 冰箱, 黑色, 10370.452, 15.0, 0.37, -3962.728
17.0, US-2018-2511714, 43426.0, 一级, 刘斯-20965, 刘斯云, 公司, 徐州, 江苏, 中国, 华东, 办公用-标签-10004648, 办公用品, 标签, Novimex 圆形标签, 红色, 119.25999999999999, 11.0, 0.0, 38.22
18.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-配件-10001200, 技术, 配件, Memorex 键盘, 实惠, 2364.44, 15.0, 0.0, 1071.1399999999999
19.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-用品-10000039, 办公用品, 用品, Acme 尺子, 工业, 119.54, 9.0, 0.0, 23.939999999999998
20.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-装订-10004589, 办公用品, 装订机, Avery 孔加固材料, 耐用, 171.9, 13.0, 0.0, 2.1
21.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-装订-10004369, 办公用品, 装订机, Cardinal 装订机, 回收, 431.32, 14.0, 0.0, 126.84
22.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-电话-10002777, 技术, 电话, 三星 办公室电话机, 整包, 2167.46, 15.0, 0.0, 959.4200000000001
23.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-复印-10002045, 技术, 复印机, Hewlett 传真机, 数字化, 4507.84, 11.0, 0.0, 1162.98
24.0, CN-2019-5631342, 43740.0, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-用品-10004353, 办公用品, 用品, Elite 开信刀, 工业, 303.91999999999996, 10.0, 0.0, 118.72
25.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-书架-10004730, 家具, 书架, Sauder 书架, 金属, 1672.336, 12.0, 0.37, -464.46399999999994
26.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-椅子-10002386, 家具, 椅子, Office Star 摇椅, 可调, 1238.5600000000002, 11.0, 0.37, 60.059999999999945
27.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-系固-10003889, 办公用品, 系固件, OIC 图钉, 金属, 232.66, 13.0, 0.37, -16.940000000000012
28.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-系固-10003118, 办公用品, 系固件, Accos 图钉, 混合尺寸, 283.312, 16.0, 0.37, -58.688
29.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-用品-10002717, 办公用品, 用品, Fiskars 剪刀, 蓝色, 423.08799999999997, 14.0, 0.37, -182.11200000000005
30.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 技术-配件-10003585, 技术, 配件, 罗技 路由器, 实惠, 726.4959999999999, 9.0, 0.37, -34.66399999999999
31.0, US-2018-4150614, 43258.0, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-用具-10001174, 家具, 用具, Tenex 灯泡, 黑色, 140.00799999999998, 10.0, 0.37, -9.071999999999989
33.0, CN-2019-3230180, 43736.0, 二级, 宋栋-12310, 宋栋, 公司, 唐山, 河北, 中国, 华北, 办公用-收纳-10001942, 办公用品, 收纳具, Fellowes 文件车, 金属, 1306.88, 10.0, 0.0, 585.48
34.0, CN-2019-3230180, 43736.0, 二级, 宋栋-12310, 宋栋, 公司, 唐山, 河北, 中国, 华北, 家具-椅子-10000374, 家具, 椅子, Harbour Creations 椅垫, 可调, 1772.1, 13.0, 0.0, 799.4
35.0, US-2018-1966627, 43423.0, 标准级, 巩虢-13495, 巩虢, 公司, 宁波, 浙江, 中国, 华东, 家具-书架-10002226, 家具, 书架, Dania 书架, 白色, 1424.032, 12.0, 0.37, -486.52799999999996
36.0, CN-2018-1190387, 43159.0, 一级, 常松-20575, 常松, 消费者, 上海, 上海, 中国, 华东, 家具-用具-10002645, 家具, 用具, Advantus 灯泡, 耐用, 432.9999999999999, 13.0, 0.0, 0.0
37.0, CN-2018-3216455, 43346.0, 二级, 田黎-16450, 田黎明, 公司, 厦门, 福建, 中国, 华东, 办公用-美术-10001683, 办公用品, 美术, Boston 画布, 蓝色, 284.32, 9.0, 0.0, 32.48
38.0, CN-2018-4690757, 43360.0, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 办公用-纸张-10003357, 办公用品, 纸张, Green Bar 笔记本, 优质, 868.1199999999999, 14.0, 0.0, 399.84000000000003
39.0, CN-2018-4690757, 43360.0, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 办公用-收纳-10002029, 办公用品, 收纳具, Smead 盘, 工业, 262.48, 9.0, 0.0, 77.56
40.0, CN-2018-4690757, 43360.0, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 家具-桌子-10001094, 家具, 桌子, Lesro 培训桌, 长方形, 966.295, 9.0, 0.25, -211.365
41.0, CN-2018-4674220, 43283.0, 一级, 徐岱-11875, 徐岱, 公司, 兰州, 甘肃, 中国, 西北, 办公用-纸张-10002597, 办公用品, 纸张, SanDisk 羊皮纸, 每包 12 个, 325.9, 11.0, 0.0, 107.94
42.0, US-2018-3857264, 43307.0, 标准级, 武杰-14815, 武杰, 小型企业, 淮阴, 江苏, 中国, 华东, 办公用-器具-10004757, 办公用品, 器具, Breville 炉灶, 黑色, 9458.296, 14.0, 0.37, -2042.5439999999999
43.0, CN-2018-4054371, 43458.0, 二级, 吕兰-15700, 吕兰, 消费者, 肇源, 黑龙江, 中国, 东北, 办公用-器具-10003452, 办公用品, 器具, KitchenAid 搅拌机, 黑色, 4161.76, 17.0, 0.0, 1650.6000000000001
44.0, CN-2016-2932548, 42507.0, 二级, 唐婉-21385, 唐婉, 小型企业, 南昌, 江西, 中国, 华东, 办公用-收纳-10004212, 办公用品, 收纳具, Fellowes 锁柜, 蓝色, 1969.08, 10.0, 0.0, 0.0
45.0, CN-2016-2932548, 42507.0, 二级, 唐婉-21385, 唐婉, 小型企业, 南昌, 江西, 中国, 华东, 办公用-美术-10001691, 办公用品, 美术, Sanford 钢笔, 混合尺寸, 300.56000000000006, 12.0, 0.0, 50.4
46.0, CN-2018-3476344, 43297.0, 标准级, 葛毅-12505, 葛毅, 消费者, 合肥, 安徽, 中国, 华东, 办公用-装订-10000749, 办公用品, 装订机, Ibico 打孔机, 透明, 731.9000000000001, 13.0, 0.0, 236.6
47.0, US-2018-5956361, 43267.0, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 办公用-美术-10001467, 办公用品, 美术, Boston 速写本, 蓝色, 306.1599999999999, 14.0, 0.8, -1020.5999999999999
48.0, US-2018-5956361, 43267.0, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 技术-电话-10004349, 技术, 电话, 诺基亚 充电器, 蓝色, 1814.968, 9.0, 0.37, 237.32799999999997
49.0, US-2018-5956361, 43267.0, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 办公用-信封-10002675, 办公用品, 信封, Ames 邮寄品, 银色, 391.0, 10.0, 0.0, 149.79999999999998
50.0, CN-2019-2396895, 43635.0, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 技术-电话-10004015, 技术, 电话, 思科 充电器, 全尺寸, 12217.36, 12.0, 0.0, 1340.08
51.0, CN-2019-2396895, 43635.0, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 技术-复印-10003216, 技术, 复印机, Hewlett 传真机, 彩色, 3033.3599999999997, 10.0, 0.0, 1229.48
52.0, CN-2019-2396895, 43635.0, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 办公用-收纳-10000501, 办公用品, 收纳具, Tenex 盘, 工业, 544.4399999999999, 10.0, 0.0, 224.56
