行ID,订单ID,订单日期,发货日期,邮寄方式,客户ID,客户名称,细分,城市,省/自治区,国家,地区,产品ID,类别,子类别,产品名称,销售额,数量,折扣,利润,
1, US-2019-1357144,43582,43584, 二级, 曾惠-14485, 曾惠, 公司, 杭州, 浙江, 中国, 华东, 办公用-用品-10002717, 办公用品, 用品, Fiskars 剪刀, 蓝色,163.696,10,0.37,-60.704
2, CN-2019-1973789,43631,43635, 标准级, 许安-10165, 许安, 消费者, 内江, 四川, 中国, 西南, 办公用-信封-10004832, 办公用品, 信封, GlobeWeis 搭扣信封, 红色,159.44,10,0,42.56
3, CN-2019-1973789,43631,43635, 标准级, 许安-10165, 许安, 消费者, 内江, 四川, 中国, 西南, 办公用-装订-10001505, 办公用品, 装订机, Cardinal 孔加固材料, 回收,65.92,10,0.37,4.2
5, CN-2018-2975416,43251,43253, 二级, 万兰-15730, 万兰, 消费者, 汕头, 广东, 中国, 中南, 办公用-器具-10003452, 办公用品, 器具, KitchenAid 搅拌机, 黑色,1409.92,11,0,550.2
6, CN-2017-4497736,43035,43039, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 技术-设备-10001640, 技术, 设备, 柯尼卡 打印机, 红色,11163.58,17,0,3783.78
7, CN-2017-4497736,43035,43039, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-装订-10001029, 办公用品, 装订机, Ibico 订书机, 实惠,513.92,10,0,172.76
8, CN-2017-4497736,43035,43039, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 家具-椅子-10000578, 家具, 椅子, SAFCO 扶手椅, 可调,8693.84,12,0,2684.08
9, CN-2017-4497736,43035,43039, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-纸张-10001629, 办公用品, 纸张, Green Bar 计划信息表, 多色,622,13,0,46.9
10, CN-2017-4497736,43035,43039, 标准级, 俞明-18325, 俞明, 消费者, 景德镇, 江西, 中国, 华东, 办公用-系固-10004801, 办公用品, 系固件, Stockwell 橡皮筋, 整包,188.28,10,0,33.88
11, CN-2016-4195213,42726,42728, 二级, 谢雯-21700, 谢雯, 小型企业, 榆林, 陕西, 中国, 西北, 技术-设备-10000001, 技术, 设备, 爱普生 计算器, 耐用,468.28,10,0,4.2
12, CN-2019-5801711,43617,43622, 标准级, 康青-19585, 康青, 消费者, 哈尔滨, 黑龙江, 中国, 东北, 技术-复印-10002416, 技术, 复印机, 惠普 墨水, 红色,2402.8,12,0,639.52
13, CN-2017-2752724,42891,42895, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 办公用-信封-10000017, 办公用品, 信封, Jiffy 局间信封, 银色,717.76,11,0,88.62
14, CN-2017-2752724,42891,42895, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 技术-配件-10004920, 技术, 配件, SanDisk 键区, 可编程,1360.5,13,0,344.4
15, CN-2017-2752724,42891,42895, 标准级, 赵婵-10885, 赵婵, 消费者, 青岛, 山东, 中国, 华东, 技术-电话-10004349, 技术, 电话, 诺基亚 充电器, 蓝色,5970.56,10,0,2849.28
16, US-2018-2511714,43426,43429, 一级, 刘斯-20965, 刘斯云, 公司, 徐州, 江苏, 中国, 华东, 办公用-器具-10003582, 办公用品, 器具, KitchenAid 冰箱, 黑色,10370.452,15,0.37,-3962.728
17, US-2018-2511714,43426,43429, 一级, 刘斯-20965, 刘斯云, 公司, 徐州, 江苏, 中国, 华东, 办公用-标签-10004648, 办公用品, 标签, Novimex 圆形标签, 红色,119.26,11,0,38.22
18, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-配件-10001200, 技术, 配件, Memorex 键盘, 实惠,2364.44,15,0,1071.14
19, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-用品-10000039, 办公用品, 用品, Acme 尺子, 工业,119.54,9,0,23.94
20, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-装订-10004589, 办公用品, 装订机, Avery 孔加固材料, 耐用,171.9,13,0,2.1
21, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-装订-10004369, 办公用品, 装订机, Cardinal 装订机, 回收,431.32,14,0,126.84
22, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-电话-10002777, 技术, 电话, 三星 办公室电话机, 整包,2167.46,15,0,959.42
23, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 技术-复印-10002045, 技术, 复印机, Hewlett 传真机, 数字化,4507.84,11,0,1162.98
24, CN-2019-5631342,43740,43742, 二级, 白鹄-14050, 白鹄, 消费者, 上海, 上海, 中国, 华东, 办公用-用品-10004353, 办公用品, 用品, Elite 开信刀, 工业,303.92,10,0,118.72
25, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-书架-10004730, 家具, 书架, Sauder 书架, 金属,1672.336,12,0.37,-464.464
26, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-椅子-10002386, 家具, 椅子, Office Star 摇椅, 可调,1238.56,11,0.37,60.06
27, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-系固-10003889, 办公用品, 系固件, OIC 图钉, 金属,232.66,13,0.37,-16.94
28, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-系固-10003118, 办公用品, 系固件, Accos 图钉, 混合尺寸,283.312,16,0.37,-58.688
29, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 办公用-用品-10002717, 办公用品, 用品, Fiskars 剪刀, 蓝色,423.088,14,0.37,-182.112
30, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 技术-配件-10003585, 技术, 配件, 罗技 路由器, 实惠,726.496,9,0.37,-34.664
31, US-2018-4150614,43258,43265, 标准级, 贾彩-10600, 贾彩, 公司, 温岭, 浙江, 中国, 华东, 家具-用具-10001174, 家具, 用具, Tenex 灯泡, 黑色,140.008,10,0.37,-9.072
33, CN-2019-3230180,43736,43740, 二级, 宋栋-12310, 宋栋, 公司, 唐山, 河北, 中国, 华北, 办公用-收纳-10001942, 办公用品, 收纳具, Fellowes 文件车, 金属,1306.88,10,0,585.48
34, CN-2019-3230180,43736,43740, 二级, 宋栋-12310, 宋栋, 公司, 唐山, 河北, 中国, 华北, 家具-椅子-10000374, 家具, 椅子, Harbour Creations 椅垫, 可调,1772.1,13,0,799.4
